date,net_cash,cash_balance,transaction_count,cash_inflow,cash_outflow
2023-02-21,0.0,379071.9328759256,0.0,0.0,0.0
2023-02-22,0.0,394275.4662092589,0.0,0.0,0.0
2023-02-23,43515.41,409478.99954259227,4.0,43515.41,0.0
2023-02-24,7854.61,417333.60954259225,1.0,7854.61,0.0
2023-02-25,16567.26,433900.86954259226,2.0,16567.26,0.0
2023-02-26,3839.77,437740.6395425923,1.0,3839.77,0.0
2023-02-27,0.0,448633.4695425923,0.0,0.0,0.0
2023-02-28,16741.88,459526.29954259226,5.0,16741.88,0.0
2023-03-01,-186465.21,268017.30954259227,3.0,0.0,186465.21
2023-03-02,-2637.309508134703,265380.0000344576,1.0,0.0,2637.309508134703
2023-03-03,32382.03,280705.76003445755,5.0,32382.03,0.0
2023-03-04,61013.91,358775.9400344576,5.0,61013.91,0.0
2023-03-05,1600.0,360375.9400344576,1.0,1600.0,0.0
2023-03-06,30486.15,369961.4200344576,4.0,30486.15,0.0
2023-03-07,13563.43,404425.5200344576,3.0,13563.43,0.0
2023-03-08,16257.2,420682.7200344576,2.0,16257.2,0.0
2023-03-09,26721.17,447403.8900344576,3.0,26721.17,0.0
2023-03-10,42716.09,452096.4100344576,4.0,42716.09,0.0
2023-03-11,40479.75,530599.7300344576,4.0,40479.75,0.0
2023-03-12,4997.71,535597.4400344576,1.0,4997.71,0.0
2023-03-13,13140.28,548737.7200344576,3.0,13140.28,0.0
2023-03-14,8453.14,555521.8500344576,2.0,8453.14,0.0
2023-03-15,33964.02684130684,591154.8868757645,5.0,33964.02684130684,0.0
2023-03-16,17852.98,609007.8668757644,2.0,17852.98,0.0
2023-03-17,22849.24,620079.8368757644,3.0,22849.24,0.0
2023-03-18,11602.51,643459.6168757644,1.0,11602.51,0.0
2023-03-19,16062.41,659522.0268757645,1.0,16062.41,0.0
2023-03-20,29523.82,689045.8468757644,3.0,29523.82,0.0
2023-03-21,20618.75,709664.5968757644,2.0,20618.75,0.0
2023-03-22,12806.64,722471.2368757644,1.0,12806.64,0.0
2023-03-23,40409.3,754164.9968757645,5.0,40409.3,0.0
2023-03-24,21025.51,783906.0468757644,4.0,21025.51,0.0
2023-03-25,26809.800000000003,810715.8468757644,3.0,26809.800000000003,0.0
2023-03-26,4346.15,815061.9968757643,1.0,4346.15,0.0
2023-03-27,27469.66,828766.6368757645,3.0,27469.66,0.0
2023-03-28,14170.610000000002,856702.2668757644,4.0,14170.610000000002,0.0
2023-03-29,21614.25,878316.5168757644,2.0,21614.25,0.0
2023-03-30,30565.94,881513.7168757644,6.0,30565.94,0.0
2023-03-31,9851.94,918734.3968757644,2.0,9851.94,0.0
2023-04-01,-153716.10275178502,738019.5425894524,12.0,0.0,153716.10275178502
2023-04-02,7844.530000000001,772862.8241239793,2.0,7844.530000000001,0.0
2023-04-03,-191500.78,783301.9541239793,4.0,0.0,191500.78
2023-04-04,8659.89,590021.9341239793,2.0,8659.89,0.0
2023-04-05,5059.95,595081.8841239794,1.0,5059.95,0.0
2023-04-06,10286.92,605368.8041239793,1.0,10286.92,0.0
2023-04-07,11664.62,617033.4241239794,1.0,11664.62,0.0
2023-04-08,7831.95,624865.3741239794,1.0,7831.95,0.0
2023-04-09,34707.11,659572.4841239793,3.0,34707.11,0.0
2023-04-10,10754.66,670327.1441239794,1.0,10754.66,0.0
2023-04-11,25936.02,682824.3841239794,2.0,25936.02,0.0
2023-04-12,42584.32,738847.4841239793,3.0,42584.32,0.0
2023-04-13,46548.25,785395.7341239795,5.0,46548.25,0.0
2023-04-14,54967.32,807081.7341239795,5.0,54967.32,0.0
2023-04-15,-2937.7092005688714,837425.3449234106,1.0,0.0,2937.7092005688714
2023-04-16,14711.77,852137.1149234106,2.0,14711.77,0.0
2023-04-17,8611.52,860748.6349234106,2.0,8611.52,0.0
2023-04-18,20214.33,880962.9649234106,3.0,20214.33,0.0
2023-04-19,55043.23,918101.4249234106,7.0,55043.23,0.0
2023-04-20,-27454.32740677709,908551.8675166336,4.0,0.0,27454.32740677709
2023-04-21,38688.7,918396.5975166336,4.0,38688.7,0.0
2023-04-22,57283.53,999355.0175166334,6.0,57283.53,0.0
2023-04-23,19036.34,1012236.4675166332,2.0,19036.34,0.0
2023-04-24,6344.99,1029905.4275166332,1.0,6344.99,0.0
2023-04-25,20482.960000000003,1050388.3875166331,4.0,20482.960000000003,0.0
2023-04-26,18628.56,1069016.9475166332,2.0,18628.56,0.0
2023-04-27,52905.62,1099696.1275166334,7.0,52905.62,0.0
2023-04-28,1940.340000000002,1123862.9075166332,3.0,1940.340000000002,0.0
2023-04-29,23165.28,1147028.1875166334,3.0,23165.28,0.0
2023-04-30,2941.16,1149969.347516633,1.0,2941.16,0.0
2023-05-01,-400988.17625993263,791662.1051596247,10.0,0.0,400988.17625993263
2023-05-02,22796.96,771778.1312567007,2.0,22796.96,0.0
2023-05-03,28768.44,800546.5712567007,2.0,28768.44,0.0
2023-05-04,21328.15,821874.7212567007,4.0,21328.15,0.0
2023-05-05,6845.01,828719.7312567007,2.0,6845.01,0.0
2023-05-06,38946.630000000005,859105.5712567007,4.0,38946.630000000005,0.0
2023-05-07,14715.990000000002,882382.3512567007,2.0,14715.990000000002,0.0
2023-05-08,26715.62,909097.9712567008,3.0,26715.62,0.0
2023-05-09,20836.16,922104.2812567006,4.0,20836.16,0.0
2023-05-10,32433.74,962367.8712567008,3.0,32433.74,0.0
2023-05-11,13390.17,975758.0412567006,2.0,13390.17,0.0
2023-05-12,12462.24,987521.1612567006,3.0,12462.24,0.0
2023-05-13,29686.54,997465.5312567006,3.0,29686.54,0.0
2023-05-14,0.0,1013258.5140725576,0.0,0.0,0.0
2023-05-15,11144.675631714234,1029051.4968884148,4.0,11144.675631714234,0.0
2023-05-16,36968.35,1066019.8468884148,4.0,36968.35,0.0
2023-05-17,4940.62,1070960.4668884147,1.0,4940.62,0.0
2023-05-18,9586.51,1080546.976888415,1.0,9586.51,0.0
2023-05-19,63245.44,1109688.706888415,7.0,63245.44,0.0
2023-05-20,19325.48,1146340.156888415,3.0,19325.48,0.0
2023-05-21,15586.169999999998,1170875.1268884148,2.0,15586.169999999998,0.0
2023-05-22,40714.53,1219418.596888415,4.0,40714.53,0.0
2023-05-23,26282.9,1245701.496888415,3.0,26282.9,0.0
2023-05-24,6955.73,1252657.226888415,2.0,6955.73,0.0
2023-05-25,3753.86,1256411.0868884148,1.0,3753.86,0.0
2023-05-26,9191.58,1265602.6668884149,1.0,9191.58,0.0
2023-05-27,41249.67,1306852.3368884148,5.0,41249.67,0.0
2023-05-28,20930.29,1327782.6268884148,5.0,20930.29,0.0
2023-05-29,14650.98,1334802.8868884146,3.0,14650.98,0.0
2023-05-30,6160.18,1348593.7868884148,1.0,6160.18,0.0
2023-05-31,17872.54688125777,1366466.3337696726,3.0,17872.54688125777,0.0
2023-06-01,-192352.13,1174114.203769673,2.0,0.0,192352.13
2023-06-02,28373.53,1182647.6237696726,3.0,28373.53,0.0
2023-06-03,19731.95,1222219.6837696726,4.0,19731.95,0.0
2023-06-04,0.0,1239592.4387696723,0.0,0.0,0.0
2023-06-05,34745.51,1256965.1937696724,4.0,34745.51,0.0
2023-06-06,29588.98,1269214.4837696725,4.0,29588.98,0.0
2023-06-07,15573.8,1302127.9737696724,2.0,15573.8,0.0
2023-06-08,8752.55,1310880.5237696725,2.0,8752.55,0.0
2023-06-09,33822.93,1344703.4537696724,3.0,33822.93,0.0
2023-06-10,8633.87,1353337.3237696723,2.0,8633.87,0.0
2023-06-11,33867.5,1370497.1137696723,6.0,33867.5,0.0
2023-06-12,18648.44,1405853.2637696725,2.0,18648.44,0.0
2023-06-13,0.0,1409266.7137696724,0.0,0.0,0.0
2023-06-14,6826.9,1412680.1637696726,1.0,6826.9,0.0
2023-06-15,14305.664166514149,1411799.9579361866,4.0,14305.664166514149,0.0
2023-06-16,30099.69,1457085.5179361866,3.0,30099.69,0.0
2023-06-17,22558.7,1479644.2179361866,3.0,22558.7,0.0
2023-06-18,6983.42,1486627.6379361865,1.0,6983.42,0.0
2023-06-19,20340.51,1506968.1479361868,2.0,20340.51,0.0
2023-06-20,30791.6,1537759.7479361868,2.0,30791.6,0.0
2023-06-21,5177.08,1542936.827936187,1.0,5177.08,0.0
2023-06-22,15573.11,1558509.937936187,3.0,15573.11,0.0
2023-06-23,0.0,1563124.152936187,0.0,0.0,0.0
2023-06-24,36866.43,1567738.367936187,5.0,36866.43,0.0
2023-06-25,15837.14,1611213.507936187,2.0,15837.14,0.0
2023-06-26,28455.69,1639669.1979361873,2.0,28455.69,0.0
2023-06-27,23401.55,1663070.7479361873,3.0,23401.55,0.0
2023-06-28,8562.449999999997,1662192.4179361872,3.0,8562.449999999997,0.0
2023-06-29,15895.85,1687529.0479361874,1.0,15895.85,0.0
2023-06-30,50177.0502009979,1727644.7781371851,7.0,50177.0502009979,0.0
2023-07-01,9481.97,1744676.0281371851,2.0,9481.97,0.0
2023-07-02,46024.4,1793212.468137185,5.0,46024.4,0.0
2023-07-03,-204556.89,1588655.5781371852,2.0,0.0,204556.89
2023-07-04,29356.08,1618011.6581371853,2.0,29356.08,0.0
2023-07-05,0.0,1623113.698137185,0.0,0.0,0.0
2023-07-06,18937.6,1628215.738137185,2.0,18937.6,0.0
2023-07-07,27735.73,1664684.9881371856,3.0,27735.73,0.0
2023-07-08,27551.61,1692236.5981371857,3.0,27551.61,0.0
2023-07-09,3966.13,1696202.7281371856,1.0,3966.13,0.0
2023-07-10,40330.25,1715515.5381371856,5.0,40330.25,0.0
2023-07-11,35690.54,1772223.5181371854,4.0,35690.54,0.0
2023-07-12,0.0,1788850.4231371852,0.0,0.0,0.0
2023-07-13,33253.81,1805477.3281371847,3.0,33253.81,0.0
2023-07-14,12571.24,1818048.5681371847,1.0,12571.24,0.0
2023-07-15,40385.40968218837,1847250.2881371847,6.0,40385.40968218837,0.0
2023-07-16,12507.55,1870941.5278193736,1.0,12507.55,0.0
2023-07-17,17085.29,1888026.8178193728,2.0,17085.29,0.0
2023-07-18,0.0,1894992.2778193727,0.0,0.0,0.0
2023-07-19,13930.92,1901957.737819373,1.0,13930.92,0.0
2023-07-20,-14760.80202395276,1910272.197819373,3.0,0.0,14760.80202395276
2023-07-21,12594.63,1899791.5657954204,1.0,12594.63,0.0
2023-07-22,8109.48,1907901.0457954204,2.0,8109.48,0.0
2023-07-23,0.0,1911067.9507954204,0.0,0.0,0.0
2023-07-24,6333.81,1914234.8557954205,1.0,6333.81,0.0
2023-07-25,39131.6,1943615.6557954203,5.0,39131.6,0.0
2023-07-26,6141.55,1959508.0057954204,1.0,6141.55,0.0
2023-07-27,29800.4,1978610.4557954203,3.0,29800.4,0.0
2023-07-28,-5334.549999999999,1983973.85579542,2.0,0.0,5334.549999999999
2023-07-29,20459.43,2004433.2857954204,2.0,20459.43,0.0
2023-07-30,0.0,2008326.0507954203,0.0,0.0,0.0
2023-07-31,7785.53,2012218.8157954204,1.0,7785.53,0.0
2023-08-01,-197521.79,1806298.8157954204,3.0,0.0,197521.79
2023-08-02,0.0,1817757.3407954208,0.0,0.0,0.0
2023-08-03,14518.84,1829215.8657954205,1.0,14518.84,0.0
2023-08-04,11727.75,1840943.6157954205,1.0,11727.75,0.0
2023-08-05,9699.36,1850642.9757954204,3.0,9699.36,0.0
2023-08-06,9934.2,1860577.1757954203,1.0,9934.2,0.0
2023-08-07,14486.53,1875063.7057954203,1.0,14486.53,0.0
2023-08-08,24347.07,1899410.7757954204,3.0,24347.07,0.0
2023-08-09,23089.41,1922500.1857954203,2.0,23089.41,0.0
2023-08-10,34392.95,1940679.6957954208,4.0,34392.95,0.0
2023-08-11,24822.88,1981716.0157954209,3.0,24822.88,0.0
2023-08-12,6246.11,1987962.1257954207,1.0,6246.11,0.0
2023-08-13,15124.32,2003086.4457954208,1.0,15124.32,0.0
2023-08-14,25393.86,2018649.2257954208,2.0,25393.86,0.0
2023-08-15,1710.0128511877151,2025872.8086466088,2.0,1710.0128511877151,0.0
2023-08-16,7369.54,2037559.858646609,1.0,7369.54,0.0
2023-08-17,4951.25,2042511.108646609,1.0,4951.25,0.0
2023-08-18,0.0,2044518.3186466089,0.0,0.0,0.0
2023-08-19,4014.42,2046525.5286466088,2.0,4014.42,0.0
2023-08-20,14076.35,2060601.8786466084,2.0,14076.35,0.0
2023-08-21,28837.1,2072501.6086466084,4.0,28837.1,0.0
2023-08-22,27257.03,2116696.0086466083,3.0,27257.03,0.0
2023-08-23,0.0,2119872.703646608,0.0,0.0,0.0
2023-08-24,6353.39,2123049.398646608,1.0,6353.39,0.0
2023-08-25,32005.12,2155054.518646608,3.0,32005.12,0.0
2023-08-26,1097.52,2156152.038646608,1.0,1097.52,0.0
2023-08-27,0.0,2146792.038646608,0.0,0.0,0.0
2023-08-28,-18720.0,2137432.038646608,1.0,0.0,18720.0
2023-08-29,9354.593370405057,2144655.252017013,3.0,9354.593370405057,0.0
2023-08-30,0.0,2083631.94868368,0.0,0.0,0.0
2023-08-31,0.0,2022608.6453503463,0.0,0.0,0.0
2023-09-01,-185201.29,1961585.342017013,3.0,0.0,185201.29
2023-09-02,6737.22,1968322.562017013,1.0,6737.22,0.0
2023-09-03,15877.76,1984200.322017013,2.0,15877.76,0.0
2023-09-04,6861.3,1991061.622017013,1.0,6861.3,0.0
2023-09-05,14786.49,2005848.112017013,1.0,14786.49,0.0
2023-09-06,0.0,2015296.7720170128,0.0,0.0,0.0
2023-09-07,34454.84,2024745.432017013,6.0,34454.84,0.0
2023-09-08,11370.13,2051673.0820170129,1.0,11370.13,0.0
2023-09-09,31608.79,2068613.362017013,3.0,31608.79,0.0
2023-09-10,16578.39,2099860.2620170126,1.0,16578.39,0.0
2023-09-11,16510.05,2116370.312017013,1.0,16510.05,0.0
2023-09-12,1393.14,2117763.452017013,1.0,1393.14,0.0
2023-09-13,14582.6,2132346.0520170126,1.0,14582.6,0.0
2023-09-14,8715.43,2141061.482017013,1.0,8715.43,0.0
2023-09-15,13491.538013551311,2154553.020030564,3.0,13491.538013551311,0.0
2023-09-16,9084.73,2163637.750030564,2.0,9084.73,0.0
2023-09-17,8150.98,2171788.730030564,1.0,8150.98,0.0
2023-09-18,15857.32,2187646.050030564,1.0,15857.32,0.0
2023-09-19,30577.58,2218223.630030564,3.0,30577.58,0.0
2023-09-20,46809.77,2265033.400030564,4.0,46809.77,0.0
2023-09-21,7818.64,2272852.040030564,1.0,7818.64,0.0
2023-09-22,14094.15,2286946.190030564,1.0,14094.15,0.0
2023-09-23,18398.04,2305344.230030564,2.0,18398.04,0.0
2023-09-24,8435.64,2313779.870030564,1.0,8435.64,0.0
2023-09-25,21636.78,2335416.650030564,2.0,21636.78,0.0
2023-09-26,26494.75,2361911.400030564,2.0,26494.75,0.0
2023-09-27,38092.49,2400003.890030564,4.0,38092.49,0.0
2023-09-28,-6641.199286338237,2408804.1207442256,4.0,0.0,6641.199286338237
2023-09-29,8558.07,2401920.7607442257,1.0,8558.07,0.0
2023-09-30,1761.31,2403682.0707442258,1.0,1761.31,0.0
2023-10-01,51111.52,2448912.260744226,6.0,51111.52,0.0
2023-10-02,-183214.68,2266827.440744226,3.0,0.0,183214.68
2023-10-03,18758.73,2290337.640744226,3.0,18758.73,0.0
2023-10-04,22258.59,2312596.230744226,3.0,22258.59,0.0
2023-10-05,19275.6,2315492.550744226,3.0,19275.6,0.0
2023-10-06,44012.09,2375883.9207442263,4.0,44012.09,0.0
2023-10-07,29419.95,2405303.8707442265,4.0,29419.95,0.0
2023-10-08,0.0,2409661.3657442266,0.0,0.0,0.0
2023-10-09,8714.99,2414018.8607442263,1.0,8714.99,0.0
2023-10-10,17939.79,2416817.430744226,3.0,17939.79,0.0
2023-10-11,40665.78,2472624.430744226,6.0,40665.78,0.0
2023-10-12,20963.96,2493588.390744226,3.0,20963.96,0.0
2023-10-13,18217.91,2503612.280744226,3.0,18217.91,0.0
2023-10-14,23602.5,2535408.8007442267,3.0,23602.5,0.0
2023-10-15,14080.849786561876,2543198.630530789,4.0,14080.849786561876,0.0
2023-10-16,31173.43,2564915.3705307883,2.0,31173.43,0.0
2023-10-17,32851.96,2613515.040530788,2.0,32851.96,0.0
2023-10-18,10438.93,2623953.9705307884,1.0,10438.93,0.0
2023-10-19,28806.5,2652760.4705307884,4.0,28806.5,0.0
2023-10-20,-11845.422991718651,2601635.54753907,5.0,0.0,11845.422991718651
2023-10-21,47257.990000000005,2688173.03753907,4.0,47257.990000000005,0.0
2023-10-22,9368.8,2697541.83753907,3.0,9368.8,0.0
2023-10-23,13098.8,2707457.5075390697,2.0,13098.8,0.0
2023-10-24,26114.17,2721185.437539069,3.0,26114.17,0.0
2023-10-25,26345.89,2763100.697539069,3.0,26345.89,0.0
2023-10-26,41522.46,2804623.157539069,5.0,41522.46,0.0
2023-10-27,22195.31,2807205.947539069,3.0,22195.31,0.0
2023-10-28,-3821.75,2822996.717539069,3.0,0.0,3821.75
2023-10-29,34131.61,2857128.3275390696,5.0,34131.61,0.0
2023-10-30,7750.9,2858659.267539069,2.0,7750.9,0.0
2023-10-31,42633.53,2907512.7575390693,4.0,42633.53,0.0
2023-11-01,-193885.1,2713627.657539069,3.0,0.0,193885.1
2023-11-02,16561.52,2730189.177539069,2.0,16561.52,0.0
2023-11-03,55289.23,2750202.467539069,6.0,55289.23,0.0
2023-11-04,16583.21,2802061.617539069,2.0,16583.21,0.0
2023-11-05,0.0,2802807.8625390693,0.0,0.0,0.0
2023-11-06,1492.49,2803554.1075390694,1.0,1492.49,0.0
2023-11-07,39428.42,2812257.7975390693,5.0,39428.42,0.0
2023-11-08,31299.96,2874282.4875390693,3.0,31299.96,0.0
2023-11-09,15918.38,2890200.867539069,2.0,15918.38,0.0
2023-11-10,13945.25,2904146.117539069,2.0,13945.25,0.0
2023-11-11,27519.23,2920369.8375390694,2.0,27519.23,0.0
2023-11-12,32693.76,2964359.1075390694,4.0,32693.76,0.0
2023-11-13,14489.69,2978848.7975390693,2.0,14489.69,0.0
2023-11-14,0.0,2985809.934129253,0.0,0.0,0.0
2023-11-15,13922.273180367138,2992771.0707194367,3.0,13922.273180367138,0.0
2023-11-16,22173.13,3006489.960719437,4.0,22173.13,0.0
2023-11-17,24045.02,3038989.2207194366,2.0,24045.02,0.0
2023-11-18,4114.65,3043103.870719437,2.0,4114.65,0.0
2023-11-19,6339.01,3049442.880719437,1.0,6339.01,0.0
2023-11-20,1801.87,3051244.750719437,1.0,1801.87,0.0
2023-11-21,25912.9,3077157.650719437,3.0,25912.9,0.0
2023-11-22,44843.87,3122001.5207194365,3.0,44843.87,0.0
2023-11-23,19852.81,3141854.330719436,3.0,19852.81,0.0
2023-11-24,5374.66,3147228.990719436,1.0,5374.66,0.0
2023-11-25,33959.35,3155647.060719436,3.0,33959.35,0.0
2023-11-26,36331.99,3194108.0607194365,4.0,36331.99,0.0
2023-11-27,10823.605412686338,3228343.936132123,4.0,10823.605412686338,0.0
2023-11-28,7443.84,3235787.7761321235,4.0,7443.84,0.0
2023-11-29,17578.63,3249368.0961321234,2.0,17578.63,0.0
2023-11-30,64541.93,3317908.336132124,6.0,64541.93,0.0
2023-12-01,-155370.19,3333451.6761321235,7.0,0.0,155370.19
2023-12-02,23203.44,3185741.5861321227,3.0,23203.44,0.0
2023-12-03,3346.39,3189087.976132123,1.0,3346.39,0.0
2023-12-04,17415.61,3206503.586132123,3.0,17415.61,0.0
2023-12-05,35270.42,3229003.496132124,3.0,35270.42,0.0
2023-12-06,19583.06,3261357.066132123,2.0,19583.06,0.0
2023-12-07,42511.83,3294328.3461321234,5.0,42511.83,0.0
2023-12-08,21675.47,3318835.486132123,2.0,21675.47,0.0
2023-12-09,59760.41,3385304.7761321226,5.0,59760.41,0.0
2023-12-10,17765.19,3403069.9661321226,1.0,17765.19,0.0
2023-12-11,5644.06,3408714.0261321226,1.0,5644.06,0.0
2023-12-12,45110.69,3431056.1761321225,6.0,45110.69,0.0
2023-12-13,1616.65,3455441.3661321225,1.0,1616.65,0.0
2023-12-14,1255.88,3456697.2461321224,1.0,1255.88,0.0
2023-12-15,5305.197753732019,3462002.4438858544,2.0,5305.197753732019,0.0
2023-12-16,25280.25,3473996.4638858545,2.0,25280.25,0.0
2023-12-17,38452.59,3525735.283885854,5.0,38452.59,0.0
2023-12-18,23489.36,3542317.3238858534,4.0,23489.36,0.0
2023-12-19,2059.97,3551284.613885853,1.0,2059.97,0.0
2023-12-20,48359.42,3599644.033885853,5.0,48359.42,0.0
2023-12-21,11114.33,3603245.943885853,2.0,11114.33,0.0
2023-12-22,30701.63,3622483.523885853,3.0,30701.63,0.0
2023-12-23,2076.74,3643536.733885853,1.0,2076.74,0.0
2023-12-24,43722.66,3675863.3138858527,5.0,43722.66,0.0
2023-12-25,28086.3,3715345.6938858526,4.0,28086.3,0.0
2023-12-26,56740.85,3740439.9838858526,7.0,56740.85,0.0
2023-12-27,11187.572066936313,3783274.115952789,3.0,11187.572066936313,0.0
2023-12-28,2930.8600000000006,3786204.9759527887,3.0,2930.8600000000006,0.0
2023-12-29,23168.3,3801795.7459527887,2.0,23168.3,0.0
2023-12-30,19951.28,3819013.1059527886,3.0,19951.28,0.0
2023-12-31,37550.16,3866874.715952789,3.0,37550.16,0.0
2024-01-01,-179944.4,3686930.315952789,3.0,0.0,179944.4
2024-01-02,64686.37,3700374.655952789,5.0,64686.37,0.0
2024-01-03,5240.2,3756856.885952789,2.0,5240.2,0.0
2024-01-04,37245.99,3794102.875952789,3.0,37245.99,0.0
2024-01-05,7026.82,3801129.695952789,1.0,7026.82,0.0
2024-01-06,7683.17,3808812.865952789,1.0,7683.17,0.0
2024-01-07,20032.08,3823951.295952789,3.0,20032.08,0.0
2024-01-08,40976.57,3869821.515952788,4.0,40976.57,0.0
2024-01-09,33701.38,3903522.895952788,3.0,33701.38,0.0
2024-01-10,30830.47,3913179.455952788,3.0,30830.47,0.0
2024-01-11,13108.75,3947462.115952788,1.0,13108.75,0.0
2024-01-12,33600.21,3981062.325952788,3.0,33600.21,0.0
2024-01-13,25449.49,4006511.8159527886,2.0,25449.49,0.0
2024-01-14,0.0,4004587.375618511,0.0,0.0,0.0
2024-01-15,-3848.8806685558898,4002662.9352842327,1.0,0.0,3848.8806685558898
2024-01-16,27574.3,4008363.0852842326,4.0,27574.3,0.0
2024-01-17,17092.17,4047329.405284233,3.0,17092.17,0.0
2024-01-18,24375.95,4071705.355284232,2.0,24375.95,0.0
2024-01-19,25101.75,4096807.105284232,3.0,25101.75,0.0
2024-01-20,-42699.676327529145,4054107.428956703,2.0,0.0,42699.676327529145
2024-01-21,9625.85,4056491.498956703,2.0,9625.85,0.0
2024-01-22,10759.71,4074492.9889567024,1.0,10759.71,0.0
2024-01-23,19359.73,4093852.7189567024,2.0,19359.73,0.0
2024-01-24,66421.56999999999,4106961.3489567023,6.0,66421.56999999999,0.0
2024-01-25,24947.51,4185221.798956703,2.0,24947.51,0.0
2024-01-26,15437.87,4200659.668956703,2.0,15437.87,0.0
2024-01-27,21255.93,4221915.598956702,2.0,21255.93,0.0
2024-01-28,-6128.66,4206225.808956703,3.0,0.0,6128.66
2024-01-29,9362.43,4225149.368956703,3.0,9362.43,0.0
2024-01-30,9487.43,4234636.798956703,1.0,9487.43,0.0
2024-01-31,14370.58,4249007.378956704,1.0,14370.58,0.0
2024-02-01,-186050.49,4263134.978956703,4.0,0.0,186050.49
2024-02-02,17198.24,4080155.128956704,3.0,17198.24,0.0
2024-02-03,25130.8,4105285.9289567033,3.0,25130.8,0.0
2024-02-04,52582.84,4127232.628956704,6.0,52582.84,0.0
2024-02-05,44175.93,4196123.478956703,6.0,44175.93,0.0
2024-02-06,30193.46,4209777.578956704,4.0,30193.46,0.0
2024-02-07,23326.27,4255564.428956703,3.0,23326.27,0.0
2024-02-08,20243.11,4275807.538956704,2.0,20243.11,0.0
2024-02-09,8740.14,4284547.678956703,1.0,8740.14,0.0
2024-02-10,14120.48,4298668.158956703,1.0,14120.48,0.0
2024-02-11,15206.18,4305656.848956703,3.0,15206.18,0.0
2024-02-12,31333.35,4345207.688956704,4.0,31333.35,0.0
2024-02-13,8290.65,4353498.338956703,1.0,8290.65,0.0
2024-02-14,6207.04,4359705.378956704,2.0,6207.04,0.0
